# FRONT	BACK
What are some examples of message brokers?	"Apache ActiveMQ
Apache Kafka
Apache Qpid
Celery
Gearman
HornetQ (Red Hat)
IBM Integration Bus
JBoss Messaging (JBoss)
JORAM
Microsoft BizTalk Server (Microsoft)
Microsoft Azure Service Bus (Microsoft)
NATS (MIT Open Source License, written in Go)
Open Message Queue
Oracle Message Broker (Oracle Corporation)
QDB (Apache License 2.0, supports message replay by timestamp)
RabbitMQ (Mozilla Public License, written in Erlang)
SAP PI (SAP AG)
Spread Toolkit
Tarantool, a NoSQL database, with a set of stored procedures for message queues
WSO2 Message Broker
Enduro/X Transactional Message Queue (TMQ)"
What is Ehcache?	Ehcache is an open source, standards-based cache that boosts performance, offloads your database, and simplifies scalability. It's the most widely-used Java-based cache.
Timing of a L1 cache reference?	0.5 nanoseconds (ns)
Timing of a branch misprediction?	5 nanoseconds (ns)
Timing of a L2 cache reference?	7 nanoseconds (ns)
Timing of a mutex lock/unlock?	25 nanoseconds (ns)
Timing of a main memory reference?	100 nanoseconds (ns)
Timing to compress 1KB?	3,000 nanoseconds (3 microseconds)
Time to send 2K bytes over 1 Gbps network?	10,000 nanoseconds (0.01 ms)
Time to read 4KB randomly from an SSD?	150,000 nanoseconds (0.15 ms)
Timing to read 1MB sequentially from memory?	250,000 nanoseconds (0.25 ms)
Timing of a disk seek?	10,000,000 nanoseconds (10 ms)
Time to read 1MB sequentially from an SSD?	"1,000,000 nanoseconds (1 ms)
4x memory"
Timing to read 1MB sequentially from disk?	"20,000,000 nanoseconds (20 ms)
80x memory
20x SSD"
Timing to send a packet CA -> Netherlands -> CA?	150,000,000 nanoseconds (150 ms)
Timing of a context switch between processes?	3000 nanoseconds
Timing of fork()?	Between 70,000 and 160,000 nanoseconds.
What is the timing overhead for a system call?	400 nanoseconds
What is Kafka?	"Apache Kafka is pub-sub messaging rethought as a distributed commit log.
Kafka is a distributed, partitioned, replicated commit log service. It provides the functionality of a messaging system, but with a unique design.
A single Kafka broker can handle hundreds of megabytes of reads and writes per second from thousands of clients."
What is GAE?	Google App Engine is a platform for building scalable web applications and mobile backends. App Engine provides you with built-in services and APIs such as NoSQL datastores, memcache, and a user authentication API, common to most applications.
What is GDS?	"Google Cloud Datastore is a NoSQL document database built for automatic scaling, high performance, and ease of application development. Cloud Datastore features include:

Atomic transactions.
Massive scalability with high performance.
Flexible storage and querying of data.
Balance of strong and eventual consistency. 
Encryption at rest.
Fully managed with no planned downtime."
